Type	Track_id	Similarity	Link	Genre	Title	Artist	Album	Score	Main_id	Evaluator
Main	4953	Main	https://melody.dvstr.net/song/4953	Radio	unidentified chinese station	The Conet Project	The Conet Project	1	4953	1
Similar_1	61902	VS			Visit Of The Emperor	Peking Opera	Antique Phonograph Music Program 03/06/2012	0.93	4953	1
Similar_2	61893	VS			Two Visitors to the St Louis World's Fair 1904	Anonymous	Antique Phonograph Music Program 03/06/2012	0.91	4953	1
Similar_3	61891	VS			Persian Music	Anyonmous	Antique Phonograph Music Program 03/06/2012	0.9	4953	1
Similar_4	61900	VS			Birma Kurda	Anonymous	Antique Phonograph Music Program 03/06/2012	0.9	4953	1
Similar_5	4908	S			sample count	The Conet Project	The Conet Project	0.89	4953	1
Main	148876	Main	https://melody.dvstr.net/song/148876		Part Past Part Fiction	The Chills	Live at WFMU's Monty Hall		148876	1
Similar_1	114314	S			World of your own	Dr. Mindflip	In a Garden of Fools	0.96	148876	1
Similar_2	71258	S			Familia irreal	Oferta Especial	Donde las Toman las Dan	0.95	148876	1
Similar_3	1885	S			Mob City Hustle	The Yolks	Wandering 7"	0.95	148876	1
Similar_4	122463	S			Easy It Goes	Eric & Magill	In This Light	0.95	148876	1
Similar_5	90614	S			The Ballad Of Rad Campbell	Toussaint Morrison	Fast Times At Trillmont High	0.94	148876	1
Main	14554	Main	https://melody.dvstr.net/song/14554	Industrial	New york Story	Psychic TV	Live at WFMU on Strength Through Failure with Fabio on 9/7/2006	1	14554	1
Similar_1	16780	N			Over the Waterfall	Shake That Little Foot	Shake That Little Foot	0.96	14554	1
Similar_2	16782	N			Sally Ann	Shake That Little Foot	Shake That Little Foot	0.95	14554	1
Similar_3	16775	N			Bonaparte's Retreat	Shake That Little Foot	Shake That Little Foot	0.95	14554	1
Similar_4	16774	N			Bonaparte Crossing the Rhine	Shake That Little Foot	Shake That Little Foot	0.94	14554	1
Similar_5	35202	S			Que Ser† Ser† (Doris Day)	Olelé Brut	El Egg Album	0.94	14554	1
Main	16185	Main	https://melody.dvstr.net/song/16185	No Wave	Stop of Go	The Sediment Club	Live at WFMU on Talk's Cheap 7/7/09	1	16185	1
Similar_1	102345	D			Violet	Paperfangs	Dressing Up - The EPOP Covers	0.93	16185	1
Similar_2	83707	D			Possibilities	Cullah	All The Cullahs Of The Rainbow	0.92	16185	1
Similar_3	127700	N			Addis Hum	The Ex with Ken Vandermark	Live at WFMU's Monty Hall 10/23/2015	0.92	16185	1
Similar_4	17112	N			Zou Wel Eens	Chenard Walcker	Vize verze	0.92	16185	1
Similar_5	49140	N			Hurry Up	R. Stevie Moore	Live at WFMU on Talk's Cheap		16185	1
Main	59765	Main	https://melody.dvstr.net/song/59765	Free-Jazz	ENCHANTING BLISS	Jared C. Balogh	Lunar Elegance	1	59765	1
Similar_1	13270	S			Can't help the stars	The Rabbits	Squirrel brain	0.96	59765	1
Similar_2	82352	S			Goddess of Veins	Janne Nummela	Kosmoskalevala	0.94	59765	1
Similar_3	87032	D			Song of the Night Cafe in New Orleans	Vi-Fi	Song of the Night Cafe in New Orleans	0.94	59765	1
Similar_4	37574	D			Nesbar	Sinewaves	Impedence Coast	0.93	59765	1
Similar_5	109286	S			Adorkva's Portable Smiles	Jaan Patterson	Crystallization of the Quantum Availability	0.93	59765	1
Main	66301	Main	https://melody.dvstr.net/song/66301	Experimental Pop	Homeostasis	Phil and the Osophers	Beko_Crash Symbols #1	1	66301	1
Similar_1	126400	S			Terminally in Love With You	Shy Kids	Lofty !	0.96	66301	1
Similar_2	54928	S			I Have Been Floated	The Olivia Tremor Control	Live at WFMU on Gaylord Field's Show on October 16		66301	1
Similar_3	40423	S			Blessed Be the Bicycle	Mt. Gigantic	gleanings and gatherings	0.95	66301	1
Similar_4	98460	D			The right answer is a question!	Frank Wilke / Andrè D.	Vertical Theory	0.95	66301	1
Similar_5	81088	S			The One Eyed King	Jacco Gardner	Live on WFMU's The Evan "Funk" Davies Show - March 27		66301	1
Main	106419	Main	https://melody.dvstr.net/song/106419	French	The Girl from the National Coalition Party	Jaakko	Ciao Jaakko 7"	1	106419	1
Similar_1	43475	D			Danza Mominatae	Goines Ma Non Troppo	Goines Ma Non Troppo	0.95	106419	1
Similar_2	54199	D			New Song #3	The German Measles	Live at WFMU on Talk's Cheap with Jason Sigal September 22		106419	1
Similar_3	65995	S			The Girl From the National Coalition Party	Jaakko	Riga	0.95	106419	1
Similar_4	4741	S			Get Along	Smokey Hormel	Live at WFMU on Jeffrey Cobb's Show on 4/3/2008	0.94	106419	1
Similar_5	360	D			Radio Jazz with Mr Rhodes	Blah Blah Blah	30th Anniversary Blah Blah Blah	0.94	106419	1
Main	31628	Main	https://melody.dvstr.net/song/31628	Reggae - Dub	El Rítmo	Juanitos	Soul Africa	1	31628	1
Similar_1	147266	S			Race 4 Humanity	K.I.R.K	Lost In Tranzitionz	0.94	31628	1
Similar_2	126900	D			Lesath	SPCZ	Elektra	0.94	31628	1
Similar_3	15701	N			Rosa Parks	René Vis	Traded time	0.93	31628	1
Similar_4	23828	S			Chopin is a fuckin'brother	Xerak	Pxl Def	0.92	31628	1
Similar_5	119029	S			Middle	Chenard Walcker	Middle	0.92	31628	1
Main	111940	Main	https://melody.dvstr.net/song/111940	Afrobeat	Le Booking	ToTaL CrAnE	Carré de Tigre	1	111940	1
Similar_1	129988	S			Fuera de focus (prod Ice Flex)	OsO El roTo	Ekeko	0.93	111940	1
Similar_2	145722	D			HAUPHUCHINDOPIREMICKS	LOWdown	soBELOW (THE groundZERO SINGLES 2006-2016)	0.93	111940	1
Similar_3	30953	N			One Singer One Song	Kazoo Funk Orchestra	Midnight Finger Painter	0.93	111940	1
Similar_4	22929	S			5 FT DUBBIN (bass mix)	Tonstartssbandht		0.93	111940	1
Similar_5	53283	D			Interlude	Darkstorm & Diabolik	Today		111940	1
Main	99384	Main	https://melody.dvstr.net/song/99384		W.I.D.I.G.D.O.T.I.	Big Ups	Live on WFMU's Beastin' the Airwaves! with Keili: Feb 14		99384	1
Similar_1	104984	D			Efflorescent Adolescent	Bipolaroid	Live on WFMU's Cherry Blossom Clinic with Terre T: April 12		99384	1
Similar_2	95518	S			Couldn't Hold a Candle	The Audacity	Live on WFMU's Cherry Blossom Clinic with Terre T: Nov 30		99384	1
Similar_3	99437	S			Day at the Beach	Atlantic Thrills	Live on WFMU's Cherry Blossom Clinic with Terre T: Feb 8		99384	1
Similar_4	46473	S			Glazin'	Jacuzzi Boys	Live on WFMU's Evan Funk Davies Show		99384	1
Similar_5	49103	D			Lilian (Won't You Play The Drums) (Live @ WFMU)	White Fence	Live at WFMU on Talk's Cheap		99384	1
Main	143106	Main	https://melody.dvstr.net/song/143106		Stingray	The Nude Party	Live on WFMU's Three Chord Monte with Joe Belock - December 21		143106	1
Similar_1	64235	N			Rest/Relaxation	Raw Nerve	Live at WFMU on Distort Jersey City April 26th		143106	1
Similar_2	46024	S			Beggin' Dogs	Obits	Live at Caledonia Lounge 3/21/2011	0.93	143106	1
Similar_3	115728	S			Meat Stairs	Fire Retarded	Live on WFMU's Three Chord Monte with Joe Belock - February 16		143106	1
Similar_4	148892	S			Come Il Canto Dei Sioux	Deiezione HC	Demo [2015]	0.93	143106	1
Similar_5	54852	D			Big Burger Satan Song Fear Bles Again Motherfuckerrrrrr	Charles Curse	WHNZ:29:STOMAC	0.93	143106	1
Main	134249	Main	https://melody.dvstr.net/song/134249		Prayer Reading in Shiva Temple				134249	1
Similar_1	134251	S			Morning Ceremony at Assi Ghat				134249	1
Similar_2	134254	S			Rama Nam Sati Heh				134249	1
Similar_3	68575	S			Lounge Bar				134249	1
Similar_4	23358	D			cruisin	pink	Dexter's Pinkboratory	0.9	134249	1
Similar_5	6357	D			Zaharoula	Raya Brass Band	Raya Brass Band Live on WFMU from the 2009 Golden Festival in NYC	0.9	134249	1
Main	108990	Main	https://melody.dvstr.net/song/108990		Merge	Vaniish	Live on Dark Night of the Soul with Julie: Sep 11		108990	1
Similar_1	147219	S			*	half cocked	Arsenal	0.94	108990	1
Similar_2	86338	S			Changing The Timeline	The Laurels	Live on WFMU's Dark Night of The Soul with Julie - May 9		108990	1
Similar_3	32678	S			Bullet Train	Apache	Live on WFMU's Evan "Funk" Davies show July 7th 2010	0.93	108990	1
Similar_4	25330	S			Wind Of The Hawk	We're Late For Class	#40 Another Collection	0.93	108990	1
Similar_5	99414	S			Purple Brain / Edge of Knife	Pampers	Live on WFMU's Cherry Blossom Clinic with Terre T: Feb 15		108990	1
Main	20444	Main	https://melody.dvstr.net/song/20444	Post-Punk	I	Animals & Men	Convulsive ep	1	20444	1
Similar_1	61978	D			Decide	Disco Missile	Elixir of Terpene Chloral Hydrate CV	0.94	20444	1
Similar_2	106953	D			Black Pyramid	Mutilation Rites	Live on WFMU's Imaginary Radio with Chris M. - June 20		20444	1
Similar_3	110987	S			Déluge	Presque Maudit	Presque maudit	0.94	20444	1
Similar_4	65978	S			Tar...Feathers live	Tar...Feathers	Live at Le Club Suburbia	0.94	20444	1
Similar_5	65976	S			Tar...Feathers live	Tar...Feathers	Live at Le Club Suburbia	0.94	20444	1
Main	53396	Main	https://melody.dvstr.net/song/53396	Sludge	I Don't Know	Lantern	Live at CKUT on New Shit	1	53396	1
Similar_1	109910	N			Slo-Mo	Ballroom	Live on WFMU's Burn It Down! with Nate K: Oct 19		53396	1
Similar_2	123430	S			Beast	Ex Hex	Live at Primavera Sound 2015	0.95	53396	1
Similar_3	48904	S			White Mystery	White Mystery	Live at WFMU on The Cherry Blossom Clinic with Terre T		53396	1
Similar_4	123432	S			Everywhere	Ex Hex	Live at Primavera Sound 2015	0.94	53396	1
Similar_5	64638	S			Bad Vomit	Bad Noids	Live at WFMU on Distort Jersey City May 10th 2012	0.94	53396	1
Main	54780	Main	https://melody.dvstr.net/song/54780	African	Dizi & Assif	FESTI 40 music festival	Burkina Faso: Festi 40 Unreleased Recordings	1	54780	1
Similar_1	51583	N			(y luego me das un besito)	Juan Cirero y Martin del Prado Jr	APLASTADOS POR LA FE TOUR 2011 (Guadalajara)	0.9	54780	1
Similar_2	13843	N			* * coq à l'ail * *	Kania Tieffer	The Eastern World EP	0.9	54780	1
Similar_3	132262	N			mourning a dead star	W.H.Y.	We Hate You	0.89	54780	1
Similar_4	51591	D			La banqueta	Juan Cirero y Martin del Prado Jr	APLASTADOS POR LA FE TOUR 2011 (Guadalajara)	0.89	54780	1
Similar_5	34668	N			Joseph	51%	Zehu	0.89	54780	1
Main	142876	Main	https://melody.dvstr.net/song/142876	Freak-Folk	????????????? ?	Kosta T	Solo lo?-?fi violin free improvisation	1	142876	1
Similar_1	142877	VS			?????????????	Kosta T	Solo lo?-?fi violin free improvisation	0.98	142876	1
Similar_2	142883	VS			free	Kosta T	Solo lo?-?fi violin free improvisation	0.97	142876	1
Similar_3	142869	VS			?????????????	Kosta T	Solo lo?-?fi violin free improvisation	0.97	142876	1
Similar_4	142873	VS			??????????????	Kosta T	Solo lo?-?fi violin free improvisation	0.97	142876	1
Similar_5	142865	VS			?????????????	Kosta T	Solo lo?-?fi violin free improvisation	0.97	142876	1
Main	20305	Main	https://melody.dvstr.net/song/20305	Jazz: Out	Sweet Sorgum	Seth Paynter and Kevin Patton	Fresnel	1	20305	1
Similar_1	20313	VS			Sweet Sorgum	Seth Paynter and Kevin Patton	Fresnel	1	20305	1
Similar_2	147040	S			the opening	dadala	it so happens	0.94	20305	1
Similar_3	136266	S			Progressions - Transversal	Wayne Kinos	Progressions	0.92	20305	1
Similar_4	43697	N			Süleyman A?a	MWE	MWE Demo	0.91	20305	1
Similar_5	48488	N			Mito Bekriyo	Gogofski	Music of the Balkans	0.91	20305	1
Main	127338	Main	https://melody.dvstr.net/song/127338	Progressive	Spinning In A Green Field	Andrew Howes	Nine Stones Close	1	127338	1
Similar_1	138737	N			free energy	fascinating earthbound objects	and so the game has gone	0.91	127338	1
Similar_2	51193	S			Panic! Sonic Monk	Downliners Sekt	The Saltire Wave	0.91	127338	1
Similar_3	87440	N			The Man Who Mistook His Wife With A Beat (In The Music RMX)	Meanwhileproject.ltd	The Plasma SoundLab – Desintegration pt. 1	0.91	127338	1
Similar_4	13269	S			Rocks which swim	The Rabbits	Squirrel brain	0.91	127338	1
Similar_5	79338	S			Slipshod	Dmitriy Krotevich	Introspect	0.9	127338	1
Main	34690	Main	https://melody.dvstr.net/song/34690	Alternative Hip-Hop	51% - Intro	51%	Songs From The Boidem	1	34690	1
Similar_1	98568	S			Lifted ft Kyle Dion and Shizzy Sixx	Hi-Rez	Product of my Environment	0.96	34690	1
Similar_2	16546	N			Love Lost	The Good People	Home Coming	0.95	34690	1
Similar_3	147705	D			I Know That	Now Endeavor	FrostWire Creative Commons Mixtape Vol. 5	0.95	34690	1
Similar_4	123986	S			Dreaming of Banjos	The Polish Ambassador			34690	1
Similar_5	41253	D			Prendo el ordernador	Capullo	Informatica Romantica para avanzados	0.94	34690	1
Main	137584	Main	https://melody.dvstr.net/song/137584	Death-Metal	Rock n' Roll (2006)	Dyslexic Fudgicle	Dyslexic Fudgicle - 2015 Release	1	137584	1
Similar_1	66669	S			PNU	PUNKASILA	Acronym Wars	0.96	137584	1
Similar_2	147380	S			Electric Girlfriend	The Zombie Dandies	Lo-Fi Heroes	0.96	137584	1
Similar_3	107499	S			Alcoholism in the Former Soviet Republics	The United Sons of Toil	When The Revolution Comes		137584	1
Similar_4	147384	S			Cassie Lace	The Zombie Dandies	Lo-Fi Heroes	0.95	137584	1
Similar_5	126670	S			Not Even Dust	Sleep Out	Not Even Dust	0.95	137584	1
Main	134921	Main	https://melody.dvstr.net/song/134921		Variations On A Kurdish Theme	Turku			134921	1
Similar_1	84584	D			2nd Birth	KLEIMOR	The Invisible Scene	0.91	134921	1
Similar_2	72396	N			Step Up To The Dubplate	Nature	Forget The Theory	0.9	134921	1
Similar_3	38381	S			5 Minutes of Autumn	Teleidofusion	Around Past	0.9	134921	1
Similar_4	80913	N			Putting The Pieces Back	Asthmatic Astronaut	Lost Unfinished Thrown Away and Recovered	0.89	134921	1
Similar_5	67108	N			Vale do Jucá	Kiko Dinucci			134921	1
Main	118888	Main	https://melody.dvstr.net/song/118888		Heartbroken Misguided	Pepper Coat	Live on WFMU's Prove It All Night with Pat Byrne: March 3		118888	1
Similar_1	118886	VS			Sugary Sweet	Pepper Coat	Live on WFMU's Prove It All Night with Pat Byrne: March 3		118888	1
Similar_2	37045	S			Clementine	John Bellows	Live @ WFMU on Liz Berg's Show		118888	1
Similar_3	126778	S			I Miss You Already	Connie Acher & Jelly	Live on WFMU's Busy Doing Nothing with Charlie: 17 July 2000	0.94	118888	1
Similar_4	128950	S			Xmas & Holly a Christmas Undone	Mr. & Mrs. Smith	Xmas & Holly	0.93	118888	1
Similar_5	130943	S			Bonus - Comme un plancher	La Cantine Boga	La Cantine Boga	0.93	118888	1
Main	101956	Main	https://melody.dvstr.net/song/101956		the bureaucrats discover that the patient isn't enrolled in the insurance exchanges				101956	1
Similar_1	5082	S			Odessa	Zola Jesus	Live at WFMU on Scott McDowell's Show 1/7/09	0.94	101956	1
Similar_2	128555	S			Larvatus Prodeo	Beentjes Cunliffe Donovan	Classwar Karaoke - 0032 Survey	0.93	101956	1
Similar_3	82226	S			Herfstklier	Richard Jonas	Masker III	0.93	101956	1
Similar_4	80107	N			Ratcatcher	Noise Problems Selections	NP50th New YX	0.92	101956	1
Similar_5	58204	S			Ugly Weather	Azoora feat. graciellita	FrostWire Creative Commons Mixtape 2 Side A	0.92	101956	1
Main	112340	Main	https://melody.dvstr.net/song/112340		Báltica	Viva Belgrado	Flores		112340	1
Similar_1	85538	S			The Turning Point	Ian Sutherland	Missing Time	0.93	112340	1
Similar_2	112333	VS			Höstsonaten	Viva Belgrado	Flores		112340	1
Similar_3	145603	N			I DON'T KNOW WHERE DARIA IS FROM	North Cape Lights	North Cape Lights EP	0.91	112340	1
Similar_4	137991	S			BOREAS	The Great Cold	The Great Cold	0.91	112340	1
Similar_5	107504	S			Sword of Damocles	The United Sons of Toil	When The Revolution Comes		112340	1
Main	86559	Main	https://melody.dvstr.net/song/86559	Power-Pop	Her Rise and Fall (The Wonder of Your Smile Remix) (Instrumental)	The Scallions	Wrecked by mGee	1	86559	1
Similar_1	59199	D			Earthquake	Reed Refucher	Tone	0.93	86559	1
Similar_2	83085	S			VII (And It Feels Like The End)	We Are All Alone	And It Feels Like The End	0.92	86559	1
Similar_3	38280	S			Pass Some Time	Altered:Carbon & Kendall WA	Hilander (+ INSTRUMENTALS)	0.92	86559	1
Similar_4	98755	S			Show Yourself Spirt Fox (Feat. Mike Keyz and 2Kee)	ABSRDST	Show Yourself Spirit Fox	0.92	86559	1
Similar_5	136339	N			Watermelon Land and Marmalade Crossbow	Maxim Kornyshev	Twisted Radius	0.91	86559	1
Main	126598	Main	https://melody.dvstr.net/song/126598	Space-Rock	Sixes Are Silent (Alternate Version)	Skyjelly	Boston Hassle Listening Party / Podcast - Skyjelly	1	126598	1
Similar_1	14231	N			Another Horizon	Nite Jewel	Live at Machine Project on Michael Goodstein's Show 2/21/09	0.92	126598	1
Similar_2	111362	N			Rashad Becker Live on WFMU	Rashad Becker	Live on WFMU with Daniel Blumin - November 16		126598	1
Similar_3	644	D			SNAP! (side two of two)	Ethan Persoff	SNAP!	0.92	126598	1
Similar_4	24351	D			Maggots	Bradbury	Corpuscle Plus	0.91	126598	1
Similar_5	37542	D			Getting Along With The People You Love	The Superfools	Chin11: The Superfools	0.91	126598	1
Main	46598	Main	https://melody.dvstr.net/song/46598	Polka	Approaching Inoffensive	Ca$h4otterz	Deranged Creatures	1	46598	1
Similar_1	151358	N			Electro Freestyle	Paris Solemn	Square One	0.91	46598	1
Similar_2	89633	N			New Class	BADLUCK	Johnny Cool	0.91	46598	1
Similar_3	136632	S			save one another	Dlay	Into The Woods	0.91	46598	1
Similar_4	63310	S			Kites	Spoek Mathambo	Live at WFMU on Underwater Theme Park with Meghan April 5		46598	1
Similar_5	152216	S			Everyday	Milf Lover 2000 A.D.	Sincerity Is The Key	0.91	46598	1
Main	43529	Main	https://melody.dvstr.net/song/43529	Balkan	Españolette	Fishtank Ensemble	Live at the 2011 Golden Festival (FE)	1	43529	1
Similar_1	67598	N			Dragon Millipede	Richard Wolff	Live at WFMU on Minor Music July 9th 2012	0.93	43529	1
Similar_2	151202	N			Zahit Bizi Tan Eyleme - Suleyman Aga	Ihtimanska	Live at the 2017 Golden Festival	0.92	43529	1
Similar_3	142736	D			The Essentials of Darkness	So There & The Hare and the Moon	Necktar Volume 8	0.91	43529	1
Similar_4	38856	D			L V	Colin Johnco	Classwar Karaoke - 0012 Survey	0.91	43529	1
Similar_5	27475	N			River's Flooded and Robin's Drowned	Black Twig Pickers	A Valentine for Jack Rose (2/14/10)	0.91	43529	1
Main	118164	Main	https://melody.dvstr.net/song/118164	Unclassifiable	Zsemle Tech	Teebag the Hustla	Sectioned v5.0	1	118164	1
Similar_1	114290	N			Elevation	Track Jackit	Building A New Chicago	0.97	118164	1
Similar_2	98382	N			Breath and Taxes	Noir	Live on WFMU's Dark Night of the Soul with Julie: Dec 12		118164	1
Similar_3	53996	S			No Desire To Speak	Just Plain Ant	Nothing Begets Nothing EP	0.96	118164	1
Similar_4	40799	S			hoaaaaa!!!	madmaid	USED 90's E.P.	0.96	118164	1
Similar_5	35259	S			Hugo	Mystic Morrison Visions	Fuzzy Set	0.96	118164	1
Main	13090	Main	https://melody.dvstr.net/song/13090	Europe	Occhi di Bambola	Giovanni Vicari		1	13090	1
Similar_1	122727	S			Gentle Annie	Carroll Clark	Antique Phonograph Music Program 02/03/2015	0.93	13090	1
Similar_2	92016	S			The Old Gander Weeping (trad.)	C. Strøm	Grave Old Tunes	0.92	13090	1
Similar_3	92019	S			Take This Thread	C. Strøm	Grave Old Tunes	0.91	13090	1
Similar_4	146768	D			Un Printemps en Hiver	La 6ème République	Necktar Volume 7	0.91	13090	1
Similar_5	43584	D			Venetian Water Dream	6majik9	Sellin & Handy	0.91	13090	1
Main	139251	Main	https://melody.dvstr.net/song/139251		Fantasy Error	State Champion	Live on WFMU's Burn It Down! with Nate K.: June 12		139251	1
Similar_1	5865	S			No Commotion - Blind Horse	Bob Wiseman	In Her Dream: Bob Wiseman Sings Wrench Tuttle	0.93	139251	1
Similar_2	58994	D			Tintero	Hawaii en Marte	Delirio sin esperanza EP	0.93	139251	1
Similar_3	111697	S			Today More Than Any Other Day	Ought	Live on WFMU's Underwater Theme park with Meghan: July 24		139251	1
Similar_4	108808	D			The Trap	D3Zs	Doin' The Raps XE	0.93	139251	1
Similar_5	123954	N			Paris To London & Back	Dazie Mae	Velvet Dress & Stockings	0.92	139251	1
Main	135672	Main	https://melody.dvstr.net/song/135672	Spoken Weird	Time to Rise	Chairs	Buzzing Surgeon's Air Drill	1	135672	1
Similar_1	104764	S			When You See Me	A C Slate no r	Touched By an Angle	0.92	135672	1
Similar_2	17104	D			Vize Verze	Chenard Walcker	Vize verze	0.92	135672	1
Similar_3	20366	N			Toucan	Ergo Phizmiz	Outtakes from "The Snow Flea"	0.91	135672	1
Similar_4	80495	S			Time Off	Spuntic	Out of Step	0.91	135672	1
Similar_5	59951	N			The Happy Doom Wacky Pecking Order	Jared C. Balogh	Detaching Realities Vol. 2	0.91	135672	1
Main	9955	Main	https://melody.dvstr.net/song/9955	Interview	An Hour with Dganit Elyakim	Ophir Ilzetzki	An Hour	1	9955	1
Similar_1	52314	D			Spraakwater	Jaap Blonk & BRAAXTAAL	BRAAXTAAL	0.96	9955	1
Similar_2	68167	D			Nude Descending a Staircase	Chuck Bettis			9955	1
Similar_3	34505	D			Three Elements Hiss	Oblivian Substanshall	Three Elements Hiss	0.95	9955	1
Similar_4	41991	S			An Hour 16 - Veryan Weston Part 1	Ophir Ilzetzki	An Hour	0.95	9955	1
Similar_5	143276	D			PanAfricanSpaceStationRErecord160208	Dave Phillips	Pan African Space Station	0.95	9955	1
Main	54931	Main	https://melody.dvstr.net/song/54931		Poison Yourself...With Thought; 02 - The Agents of Transformation; 03 - Drowning in the Pain of Consciousness	Arizmenda	Live on My Castle of Quiet on WFMU		54931	1
Similar_1	54933	S			Trascendencia del Espacio y Tiempo; Cuerpo de Fuego	Volahn	Live on My Castle of Quiet on WFMU		54931	1
Similar_2	68669	S			Mishima	King Ghidorah!	HEADPHONE HOSPITAL - Severed Lips Recordings Compilation	0.97	54931	1
Similar_3	60934	S			Mishima	King Ghidorah!	Satanis Infinitum	0.97	54931	1
Similar_4	10846	S			Twitch of the Death Nerve	Red Dawn II	Live at WFMU on Liz B's show 11/24/2008	0.96	54931	1
Similar_5	3579	S			40 Miles of Bad Road	Dead Moon	Live at WFMU on Joe Belock's Show on 9/27/2001	0.96	54931	1
Main	70189	Main	https://melody.dvstr.net/song/70189	Rockabilly	American English	The Canoes	American English	1	70189	1
Similar_1	64011	S			Righteous				70189	1
Similar_2	122928	S			Never Smile	Big Quiet	Live on WFMU's Burn It Down with Nate K: July 12		70189	1
Similar_3	91070	S			Allen's Brandy	Magnets	Live on WFMU's Distort Jersey City with Deed Runlea - Aug 28		70189	1
Similar_4	25093	S			Tell me mama	Dan Alfresco	Dead Bees label sampler #9	0.95	70189	1
Similar_5	3855	N			High Society	Los Fancy Free	Live at WFMU on Liz B's Show on 7/14/2008	0.95	70189	1
